ID,Command Name,Command,Comparator,Reference Value
54,cau_hinh_crontab_min,(crontab -l | grep -v ^# | grep -v "sd_agent" | grep -v "scms-agent"; crontab -l | grep -v ^# | grep sd_agent | grep sd_agent_monitor.sh; crontab -l | grep -v ^# | grep scms-agent | grep scms-mon) | wc -l,int_eq,2
55,rsyslog1,grep -v ^# /etc/logrotate.d/rsyslog | grep -E "/var/log/syslog|/var/log/mail.info|/var/log/mail.warn|/var/log/mail.err|/var/log/mail.log|/var/log/kern.log|/var/log/auth.log|/var/log/cron.log|/var/log/debug|/var/log/messages|\\{|compress|sharedscripts|postrotate|/usr/lib/rsyslog/rsyslog-rotate|endscript|\\}",non_empty,
56,rsyslog2_1,grep -v ^# /etc/logrotate.conf | grep -E "weekly|rotate 12|create|dateext|include /etc/logrotate.d",non_empty,
57,rsyslog2_2,grep -v ^# /etc/logrotate.d/btmp | grep -E "/var/log/btmp|create 0660 root utmp|\\{|\\}",non_empty,
58,rsyslog2_3,grep -v ^# /etc/logrotate.d/wtmp | grep -E "/var/log/wtmp|create 0664 root utmp|\\{|\\}",non_empty,
59,rsyslog3_1,grep -v ^# /etc/logrotate.d/cmdlog | grep -E "/var/log/cmdlog.log|\\{|compress|weekly|rotate 12|sharedscripts|postrotate|/usr/lib/rsyslog/rsyslog-rotate|endscript|\\}",non_empty,
60,rsyslog3_2,grep -v ^# /etc/logrotate.d/iptables | grep -E "/var/log/iptables.log|\\{|daily|rotate 30|copytruncate|compress|notifempty|missingok|\\}",non_empty,
61,rsyslog3_3,grep -v ^# /etc/rsyslog.d/50-default.conf | grep "kern.debug" | grep "/var/log/iptables.log" | wc -l,int_eq,1
62,rsyslog3_4,grep -v ^# /etc/rsyslog.d/50-default.conf | grep "local6" | grep "/var/log/cmdlog.log" | wc -l,int_eq,1
63,iptables_persistent,dpkg -l | grep iptables-persistent,non_empty,
64,zone_reclaim_mode,cat /proc/sys/vm/zone_reclaim_mode,int_eq,0
65,mysql_not_active,ps -ef | grep mysql | grep -v ^root,empty,
66,phan_vung_swap,tail -n+2 /proc/swaps,non_empty,
67,oracle_scan_order,[ -e /etc/sysconfig/oracleasm ] && awk -F= '/^ORACLEASM_SCANORDER/ && /dm/{o++} /^ORACLEASM_SCANEXCLUDE/ && /sd/{x++} END{print (o>0 && x>0)?1:0}' /etc/sysconfig/oracleasm || echo 1,int_eq,1
68,haveged_service_on,dmidecode -t system | grep -iE "Vmware|OpenStack" >/dev/null && systemctl is-active haveged 2>/dev/null | grep -qw active || echo active,eq,active
69,basic_package,dpkg --get-selections | grep -E "telnet|sysstat|lsof|dmidecode|net-tools|pciutils|iptables|iptables-persistent|netfilter-persistent|ntp|ftp|nmap|iotop|wget|zip|unzip|sysfsutils|traceroute|e2fsprogs",non_empty,
70,repo_taptrung,curl --connect-timeout 3 -s -o /dev/null -I -w "%{http_code}" 10.254.144.164:8081,eq,200
71,ntp_service,systemctl is-active ntp 2>/dev/null,eq,active
72,config_ntp1,grep -v ^# /etc/ntp.conf | grep "@{ntp_server}",non_empty,
73,config_ntp2,grep -v ^# /etc/ntp.conf | grep logfile | awk '{print $2}' | xargs -r test -f && echo 1 || echo 0,int_eq,1
74,config_ntp3,log=$(grep -v ^# /etc/ntp.conf | grep logfile | awk '{print $2}'); [ -n "$log" ] && grep -q "$log" /etc/logrotate.d/syslog && echo 1 || echo 0,int_eq,1
75,time_synchronization1,ntpdate -q 192.168.181.50 | grep offset | wc -l,int_ge,1
76,time_synchronization2,"cat /root/check_time_sync.txt | grep delay | awk '{print $6}' | cut -d',' -f1",int_neq,0.000000
77,time_synchronization3,cat /root/check_time_sync.txt | grep delay | awk '{print $6}' | cut -d'.' -f1,in,"0,-0,+0"
78,swappiness,cat /proc/sys/vm/swappiness,int_le,10
79,lldp_service,dmidecode -t system | grep -Eq "VMware|RDO" && echo 1 || (dpkg -s lldpd | grep -q "ok installed" && echo 1 || echo 0),int_eq,1
80,netfilter_persistent,systemctl is-active netfilter-persistent 2>/dev/null,eq,active
81,iptables1,iptables -S INPUT | tail -1 | grep -E "\-A INPUT \-j (DROP|REJECT)",non_empty,
82,iptables2,iptables -S INPUT | tail -2 | head -1 | grep "\-A INPUT \-j LOG",non_empty,
83,iptables3,iptables -S OUTPUT | tail -1 | grep -E "\-A OUTPUT \-j (DROP|REJECT)",non_empty,
84,iptables4,iptables -S OUTPUT | tail -2 | head -1 | grep "\-A OUTPUT \-j LOG",non_empty,
85,cmdlog1,grep -v ^# /etc/bash.bashrc | grep "local6.debug" | grep ctty,non_empty,
86,cmdlog2,grep -v ^# /etc/bash.bashrc | grep "export PROMPT_COMMAND" | grep "local6.debug" | wc -l,int_eq,1

