ID,Command Name,Command,Comparator,Reference Value
52,rsyslog1_2,grep -v ^# /etc/logrotate.d/syslog | grep -E "/var/log/cron|/var/log/maillog|/var/log/messages|/var/log/secure|/var/log/spooler|/var/log/cmdlog.log|\\{|compress|sharedscripts|postrotate|/usr/bin/systemctl -s HUP kill rsyslog.service >/dev/null 2>&1 || true|endscript|\\}",non_empty,
53,rsyslog1_3,grep -v ^# /etc/logrotate.d/iptables | grep -E "/var/log/iptables/iptables.log|\\{|daily|rotate 30|copytruncate|compress|notifempty|missingok|\\}",non_empty,
54,rsyslog1_4,grep -v ^# /etc/logrotate.d/btmp | grep -E "/var/log/btmp|missingok|weekly|create 0660 root utmp|rotate 12",non_empty,
55,rsyslog1_5,grep -v ^# /etc/logrotate.d/wtmp | grep -E "/var/log/wtmp|missingok|weekly|create 0664 root utmp|minsize 1M|rotate 12",non_empty,
56,rsyslog2_1,grep -v ^# /etc/bashrc | grep "local6.debug" | grep ctty,non_empty,
57,rsyslog2_2,grep -v ^# /etc/rsyslog.conf | grep -E "/var/log/cmdlog.log|/var/log/iptables/iptables.log",non_empty,
58,rsyslog2_3,tail -100 /var/log/cmdlog.log | grep $value,non_empty,
59,rsyslog3_1,grep -v ^# /etc/bashrc | grep "export PROMPT_COMMAND" | grep "local6.debug" | wc -l,int_eq,1
60,rsyslog3_2,grep -v ^# /etc/rsyslog.conf | grep "local6" | grep "/var/log/cmdlog.log" | wc -l,int_eq,1
61,rsyslog3_3,grep -v ^# /etc/rsyslog.conf | grep "kern.debug" | grep "/var/log/iptables/iptables.log" | wc -l,int_eq,1
62,iptables_status,systemctl is-active iptables,eq,active
63,zone_reclaim_mode,cat /proc/sys/vm/zone_reclaim_mode,int_eq,0
64,mysql_not_active,ps -ef | grep mysql | grep -v ^root,empty,
65,phan_vung_swap,tail -n+2 /proc/swaps,non_empty,
66,oracle_scan_order,[ -e /etc/sysconfig/oracleasm ] && awk -F= '/^ORACLEASM_SCANORDER/ && /dm/{o++} /^ORACLEASM_SCANEXCLUDE/ && /sd/{x++} END{print (o>0 && x>0)?1:0}' /etc/sysconfig/oracleasm || echo 1,int_eq,1
67,haveged_service_on,dmidecode -t system | grep -iE "Vmware|OpenStack" >/dev/null && (rpm -qa | grep -q haveged && service haveged status 2>/dev/null | grep -qw running && echo 1 || echo 0) || echo 1,int_eq,1
68,basic_package,rpm -qa | grep -E "^(telnet|sysstat|lsof|dmidecode|net-tools|pciutils|iptables-services|chrony|ftp|nmap|iotop|wget|zip|unzip|sysfsutils|traceroute|e2fsprogs)-",non_empty,
69,swappiness,cat /proc/sys/vm/swappiness,int_le,10
70,repo_taptrung,curl --connect-timeout 3 -s -o /dev/null -I -w "%{http_code}" 10.60.129.132,eq,200
71,chronyd_status,systemctl is-active chronyd,eq,active
72,chronyd_config,grep -v ^# /etc/chrony.conf | grep "@{chrony_server}",non_empty,
73,time_synchronization,chronyc sources | grep "@{chrony_server}" | awk '{print $5}',int_eq,377
74,lldp_service,dmidecode -t system | grep -Eq "VMware|RDO" && echo 1 || (rpm -qa | grep -q ^lldpd- && echo 1 || echo 0),int_eq,1
75,lldp_show_neighbor,dmidecode -t system | grep -Eq "VMware|RDO" && echo 1 || (lldpcli show neighbors | grep -q "LLDP neighbors:" && echo 1 || echo 0),int_eq,1
76,ipx_installed,which ipx | grep "/bin/ipx",non_empty,
77,iptables1,iptables -S INPUT | tail -1 | grep -E "\-A INPUT \-j (DROP|REJECT)",non_empty,
78,iptables2,iptables -S INPUT | tail -2 | head -1 | grep "\-A INPUT \-j LOG",non_empty,
79,iptables3,iptables -S OUTPUT | tail -1 | grep -E "\-A OUTPUT \-j (DROP|REJECT)",non_empty,
80,iptables4,iptables -S OUTPUT | tail -2 | head -1 | grep "\-A OUTPUT \-j LOG",non_empty,

